,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
1331,,http://www.youtube.com/channel/UC-3tlxXB55ZdVB_5PUqWESg,UC-3tlxXB55ZdVB_5PUqWESg,İlhan Neğiş,UgzXSdL-aBAl8wPHHpF4AaABAg.99ngO9rgu3u99njvZBmZ35,0,1591947148.0,"şapka gölgesinden arada bir burna ışık düşüyor renk yırtıldı yırtılacak ama kurtarıyor, yoksa farkedilmeyecek kadar iyi",none,UgzXSdL-aBAl8wPHHpF4AaABAg,2020-07-05 20:11:38.807541,
1332,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgzXSdL-aBAl8wPHHpF4AaABAg.99ngO9rgu3u99ngguuwmYh,1,1591945455.0,"Farklı göz görüyor işte, özellikle zor ışıklar seçtim, güneşe cepheden, kasket taktım (gerçi hep takıyorum) yüzümün bir kısmı gölgede kalsın diğer taraflar patlasın diyr, ters ışık çektim. Görenler anlar diye. Sanıyorum bunu fakeden en azından söyleyen teksiniz",none,UgzXSdL-aBAl8wPHHpF4AaABAg,2020-07-05 20:11:38.807541,
1333,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgwqY2DWWCOvPQr90fp4AaABAg.99ng-It2xj199ngTH4gkhc,1,1591945336.0,"Ben evf lere karşı hatta kıl olan bir insan olarak o iş bitmiş diyebilirim, hiç gecikme hissetmedim, aynadan bakar gibi",none,UgwqY2DWWCOvPQr90fp4AaABAg,2020-07-05 20:11:39.079177,
1334,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgwqrcuD_A_byTJkMaJ4AaABAg.99nfLoFgF3G99nhDTdrkUA,0,1591945730.0,Nasıl sevmiyorum tüm fotoğraf makinalarım Canon,none,UgwqrcuD_A_byTJkMaJ4AaABAg,2020-07-05 20:11:39.360113,
1335,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgwqrcuD_A_byTJkMaJ4AaABAg.99nfLoFgF3G99nh9LRxK1E,0,1591945697.0,Yok belli 3500 USD,none,UgwqrcuD_A_byTJkMaJ4AaABAg,2020-07-05 20:11:39.360113,
1336,,http://www.youtube.com/channel/UC3auvSh27uP-TrfXtfMlWbw,UC3auvSh27uP-TrfXtfMlWbw,Cenk Yakinlar,UgwqrcuD_A_byTJkMaJ4AaABAg.99nfLoFgF3G99nh69uV5L2,0,1591945670.0,@Koray Birand  Daha henüz fiyatı belli degil diye biliyorum. Iki kati olmayabilir. Linkteki update yapilmis modeli henüz çıkmadı. Büyük beklenti var söyleyeyim. Bu da 10-bit Canon Log 4:2:2- veya HDR PQ 4:2:2 çekiyor mesela. Lens avantajlari var Canon kullanicilarina. Sen sevmiyorsun biliyorum ama Canon kameralar video ile bir tık öne geçiyor sanki. Bu arada ben de Nikon kullanıcısıyım.,none,UgwqrcuD_A_byTJkMaJ4AaABAg,2020-07-05 20:11:39.360113,
1337,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgwqrcuD_A_byTJkMaJ4AaABAg.99nfLoFgF3G99nfqtDzwhF,1,1591945013.0,"Fiyatı iki katı, belirteyim bir de lensleri ile beraber mk4 ağırlığına ve boyutuna geliyor. Specler çok iyi gelsin ondan sonra bakarız",none,UgwqrcuD_A_byTJkMaJ4AaABAg,2020-07-05 20:11:39.360113,
1338,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,Ugx0oBGHRA29oeXiwcp4AaABAg.99nfDMCefrM99rc5um1XwB,1,1592077265.0,o lutlar technical lutlar sadece log dan bt709 a daha kolay renk yapilabilir bir hale getiriyor. O yuzden.,none,Ugx0oBGHRA29oeXiwcp4AaABAg,2020-07-05 20:11:39.592349,
1339,,http://www.youtube.com/channel/UC7caZVcuAUROs6TratUQOgw,UC7caZVcuAUROs6TratUQOgw,Yunus Ç.,Ugx0oBGHRA29oeXiwcp4AaABAg.99nfDMCefrM99nfxAy5Mb_,0,1591945064.0,Yok  abi yanlis anladin videonun basinda ornek videolar da vardi,none,Ugx0oBGHRA29oeXiwcp4AaABAg,2020-07-05 20:11:39.592349,
1340,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,Ugx0oBGHRA29oeXiwcp4AaABAg.99nfDMCefrM99nf_8m7I1T,1,1591944868.0,"Aha haaa nasil bir soru ? Lut kullanarak renk hic yapmadim, her zaman grading yapiyorum",none,Ugx0oBGHRA29oeXiwcp4AaABAg,2020-07-05 20:11:39.592349,
